DEST_COUNTRY_NAME,ORIGIN_COUNTRY_NAME,count
United States,Romania,1
United States,Ireland,264
United States,India,69
Egypt,United States,24
Equatorial Guinea,United States,1
United States,Singapore,25
United States,Grenada,54
Costa Rica,United States,477
Senegal,United States,29
United States,Marshall Islands,44
Guyana,United States,17
United States,Sint Maarten,53
Malta,United States,1
Bolivia,United States,46
Anguilla,United States,21
Turks and Caicos Islands,United States,136
United States,Afghanistan,2
Saint Vincent and the Grenadines,United States,1
Italy,United States,390
United States,Russia,156
United States,Federated States of Micronesia,48
Pakistan,United States,9
United States,Netherlands,570
Iceland,United States,118
Marshall Islands,United States,77
Luxembourg,United States,91
Honduras,United States,391
The Bahamas,United States,903
El Salvador,United States,519
United States,Senegal,46
Samoa,United States,28
United States,Angola,18
Kazakhstan,United States,3
Switzerland,United States,315
United States,Anguilla,20
Sint Maarten,United States,61
Hong Kong,United States,252
Trinidad and Tobago,United States,187
Latvia,United States,12
United States,Ecuador,345
Slovakia,United States,1
Suriname,United States,12
Mexico,United States,6200
United States,Cyprus,1
Ecuador,United States,272
United States,Bosnia and Herzegovina,1
United States,Portugal,104
United States,Costa Rica,501
United States,Guatemala,333
United States,Suriname,13
Colombia,United States,785
United States,Cape Verde,18
United States,Jamaica,757
United States,Malaysia,3
Norway,United States,29
United States,Morocco,16
Thailand,United States,16
Venezuela,United States,377
United States,Palau,30
United States,Samoa,28
United States,Algeria,1
United States,Venezuela,341
Panama,United States,355
United States,Finland,20
United States,Chile,176
Morocco,United States,16
United States,Greece,61
Antigua and Barbuda,United States,123
Azerbaijan,United States,1
United States,The Bahamas,959
New Zealand,United States,86
Liberia,United States,1
United States,Hong Kong,293
Hungary,United States,14
United States,China,505
United States,Vietnam,1
Sweden,United States,65
United States,Kuwait,25
United States,Dominican Republic,1150
United States,Egypt,25
Israel,United States,117
United States,United States,348113
United States,Luxembourg,90
Ethiopia,United States,12
United States,Poland,61
Martinique,United States,23
Saint Barthelemy,United States,28
United States,Saint Barthelemy,29
United States,Turkey,87
Barbados,United States,130
United States,Estonia,1
United States,Azerbaijan,1
Germany,United States,1392
